,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
0,122,"[(0, 0), (2, 0)]",TWINST0210-1-1,-1,CONTE-Inlier,0.08727150532209896
1,112,"[(0, 0), (1, 0)]",TWINST0175-1-1,-1,CONTE-Inlier,0.8516037191385918
2,119,"[(0, 0), (0, 3)]",TWINST0195-1-1,-1,CONTE-Inlier,0.0008508783589715676
3,146,"[(0, 0), (2, 3)]",TWINST0323-1-2,-1,CONTE-Inlier,0.16274992571585814
4,57,"[(0, 0), (2, 2)]",CONTE0436-1-1,-1,CONTE-Inlier,0.09715056507314718
5,70,"[(0, 0), (2, 2)]",CONTE0564-1-1,-1,CONTE-Inlier,0.9660412481007802
6,71,"[(1, 0), (0, 1)]",CONTE0568-1-1,-1,CONTE-Inlier,2.4791674684475873
7,83,"[(1, 0), (0, 2)]",TWINST0008-2-2,-1,CONTE-Inlier,0.0004295963667869719
8,96,"[(1, 0), (1, 0)]",TWINST0077-1-1,-1,CONTE-Inlier,0.13716659092891642
9,144,"[(1, 0), (0, 5)]",TWINST0311-1-1,-1,CONTE-Inlier,0.004323127149429523
10,39,"[(1, 0), (3, 0)]",CONTE0319-1-1,-1,CONTE-Inlier,0.9941896537825142
11,130,"[(1, 0), (3, 0)]",TWINST0238-1-1,-1,CONTE-Inlier,0.08934814679051452
12,134,"[(1, 0), (3, 3)]",TWINST0254-1-1,-1,CONTE-Inlier,2.7684602768418625
13,11,"[(1, 0), (3, 5)]",CONTE0173-1-1,-1,CONTE-Inlier,0.040126283135360194
14,6,"[(3, 0), (0, 0)]",CONTE0151-1-1,-1,CONTE-Inlier,0.1406094483445898
15,40,"[(3, 0), (0, 3)]",CONTE0329-1-1,-1,CONTE-Inlier,0.000320336406256279
16,3,"[(3, 0), (0, 1)]",CONTE0133-1-1,-1,CONTE-Inlier,1.2353925478966397
17,1,"[(3, 0), (4, 0)]",CONTE0113-2-1,-1,CONTE-Inlier,0.3020200377284583
18,81,"[(3, 0), (4, 0)]",CONTE0598-1-1,-1,CONTE-Inlier,1.9636140544493061
19,80,"[(3, 0), (4, 1)]",CONTE0597-1-1,-1,CONTE-Inlier,0.03712546159150166
20,53,"[(3, 0), (4, 3)]",CONTE0394-1-1,-1,CONTE-Inlier,0.2014493575308802
21,109,"[(3, 0), (3, 2)]",TWINST0152-1-2,-1,CONTE-Inlier,1.8506232925882138
22,100,"[(3, 0), (2, 1)]",TWINST0100-1-2,-1,CONTE-Inlier,0.08129898983016906
23,47,"[(2, 0)]",CONTE0350-1-1,-1,CONTE-Inlier,1.043949373849265
24,139,"[(2, 0)]",TWINST0289-1-2,-1,CONTE-Inlier,1.7679152887223437
25,141,"[(2, 0)]",TWINST0299-1-2,-1,CONTE-Inlier,1.13920272926255
26,77,"[(0, 3), (0, 0)]",CONTE0588-1-1,-1,CONTE-Inlier,0.00022583261973997638
27,110,"[(0, 3), (0, 6)]",TWINST0153-1-1,-1,CONTE-Inlier,0.0008592744293223661
28,115,"[(0, 3), (6, 0)]",TWINST0190-1-2,-1,CONTE-Inlier,0.00029474030559558154
29,108,"[(0, 3), (6, 6)]",TWINST0148-1-2,-1,CONTE-Inlier,6.284375837340345e-07
30,85,"[(0, 3), (3, 3)]",TWINST0011-1-1,-1,CONTE-Inlier,1.244270658768612
31,84,"[(0, 3), (3, 6)]",TWINST0009-1-1,-1,CONTE-Inlier,1.3826763745568127
32,24,"[(0, 2), (0, 0)]",CONTE0213-1-1,-1,CONTE-Inlier,0.8683200093916852
33,42,"[(0, 2), (0, 0)]",CONTE0339-1-1,-1,CONTE-Inlier,0.00678063627085966
34,13,"[(0, 2), (0, 1)]",CONTE0176-1-1,-1,CONTE-Inlier,0.23879608927093807
35,46,"[(0, 2), (2, 0)]",CONTE0345-1-1,-1,CONTE-Inlier,0.0731853923391487
36,105,"[(0, 2), (2, 1)]",TWINST0135-1-1,-1,CONTE-Inlier,0.19487505238258823
37,82,"[(0, 2), (1, 0)]",CONTE0599-1-1,-1,CONTE-Inlier,1.342319540246454
38,63,"[(0, 2), (1, 1)]",CONTE0501-1-1,-1,CONTE-Inlier,0.5384868933915997
39,69,"[(0, 2), (5, 0)]",CONTE0544-1-1,-1,CONTE-Inlier,0.25390956732970277
40,28,"[(0, 2), (5, 1)]",CONTE0235-1-1,-1,CONTE-Inlier,0.4821145980685991
41,58,"[(0, 2), (5, 1)]",CONTE0440-1-1,-1,CONTE-Inlier,0.2429980099890855
42,50,"[(1, 3), (0, 0)]",CONTE0362-1-1,-1,CONTE-Inlier,0.039669227708674766
43,7,"[(1, 3), (0, 2)]",CONTE-TRIOneo-0029-1-1,-1,CONTE-Inlier,0.04894452463911315
44,44,"[(1, 3), (6, 2)]",CONTE0343-2-1,-1,CONTE-Inlier,1.3923792212217947e-05
45,36,"[(1, 3), (4, 2)]",CONTE0302-1-1,-1,CONTE-Inlier,0.5899486730501825
46,125,"[(1, 3), (3, 0)]",TWINST0219-1-1,-1,CONTE-Inlier,0.01907539288992148
47,33,"[(1, 3), (3, 1)]",CONTE0282-2-1,-1,CONTE-Inlier,0.7114624827593972
48,98,"[(1, 2), (0, 0)]",TWINST0088-1-2,-1,CONTE-Inlier,0.013544383637116037
49,73,"[(1, 2), (2, 0)]",CONTE0576-1-1,-1,CONTE-Inlier,0.0014522881126063484
50,124,"[(1, 2), (0, 4)]",TWINST0217-1-1,-1,CONTE-Inlier,0.21073893129298654
51,107,"[(1, 2), (0, 3)]",TWINST0143-1-2,-1,CONTE-Inlier,0.11011048621616398
52,37,"[(1, 2), (2, 4)]",CONTE0304-2-1,-1,CONTE-Inlier,0.1615962057268018
53,61,"[(1, 2), (2, 3)]",CONTE0497-1-1,-1,CONTE-Inlier,0.13745371040198606
54,79,"[(1, 2), (0, 2)]",CONTE0595-1-1,-1,CONTE-Inlier,0.13402225253930003
55,38,"[(1, 2), (1, 2)]",CONTE0318-2-1,-1,CONTE-Inlier,0.41153051562360726
56,104,"[(1, 2), (2, 2)]",TWINST0130-1-2,-1,CONTE-Inlier,0.6851737442227106
57,118,"[(1, 2), (2, 2)]",TWINST0193-1-2,-1,CONTE-Inlier,1.136842522568684
58,18,"[(2, 3), (0, 0)]",CONTE0192-1-1,-1,CONTE-Inlier,0.0046048878799919415
59,0,"[(2, 3), (1, 0)]",CONTE0112-1-1,-1,CONTE-Inlier,0.10268132474993544
60,74,"[(2, 3), (3, 0)]",CONTE0579-1-1,-1,CONTE-Inlier,0.792519556185829
61,93,"[(2, 3), (3, 0)]",TWINST0068-1-1,-1,CONTE-Inlier,0.25205905389423355
62,60,"[(2, 3), (2, 0)]",CONTE0490-1-1,-1,CONTE-Inlier,0.032703651424981196
63,16,"[(2, 3), (0, 2)]",CONTE0038-2-1,-1,CONTE-Inlier,0.5729023050907618
64,23,"[(2, 3), (0, 2)]",CONTE0212-1-1,-1,CONTE-Inlier,0.13767756139013254
65,94,"[(2, 3), (0, 2)]",TWINST0075-1-2,-1,CONTE-Inlier,0.28612176858795196
66,17,"[(2, 3), (1, 2)]",CONTE0189-1-1,-1,CONTE-Inlier,0.2088332596991682
67,78,"[(2, 3), (2, 2)]",CONTE0591-1-1,-1,CONTE-Inlier,0.2310848375781538
68,87,"[(2, 3), (3, 2)]",TWINST0023-1-1,-1,CONTE-Inlier,1.0102153302139507
69,49,"[(2, 3), (2, 1)]",CONTE0357-1-1,-1,CONTE-Inlier,0.4417556550142176
70,22,"[(2, 3), (3, 1)]",CONTE0210-1-1,-1,CONTE-Inlier,0.1259925323269847
71,102,"[(2, 2), (0, 0)]",TWINST0123-1-2,-1,CONTE-Inlier,0.22310339057759862
72,67,"[(2, 2), (0, 1)]",CONTE0533-1-1,-1,CONTE-Inlier,0.16130188700383166
73,54,"[(2, 2), (2, 0)]",CONTE0414-1-1,-1,CONTE-Inlier,0.02974731705718154
74,142,"[(2, 2), (2, 1)]",TWINST0302-1-1,-1,CONTE-Inlier,0.1920574054098573
75,25,"[(2, 2), (0, 4)]",CONTE0216-1-1,-1,CONTE-Inlier,0.8672338879588019
76,27,"[(2, 2), (0, 4)]",CONTE0233-2-1,-1,CONTE-Inlier,0.8153528444227313
77,136,"[(2, 2), (0, 3)]",TWINST0275-1-2,-1,CONTE-Inlier,0.8219712651369903
78,64,"[(2, 2), (1, 4)]",CONTE0514-1-1,-1,CONTE-Inlier,0.15489823241429337
79,65,"[(2, 2), (2, 4)]",CONTE0521-1-1,-1,CONTE-Inlier,0.22567876117098928
80,86,"[(2, 2), (2, 4)]",TWINST0022-1-1,-1,CONTE-Inlier,0.4513004908886341
81,12,"[(2, 2), (2, 3)]",CONTE0175-1-1,-1,CONTE-Inlier,0.2649391272138532
82,26,"[(2, 2), (0, 2)]",CONTE0224-1-1,-1,CONTE-Inlier,0.008984906642080147
83,90,"[(2, 2), (1, 2)]",TWINST0049-1-2,-1,CONTE-Inlier,0.975042481655597
84,117,"[(2, 2), (1, 2)]",TWINST0192-1-2,-1,CONTE-Inlier,0.1886106190935904
85,131,"[(2, 2), (1, 2)]",TWINST0243-1-2,-1,CONTE-Inlier,0.9916785113971509
86,14,"[(2, 2), (2, 2)]",CONTE0179-1-1,-1,CONTE-Inlier,0.568965642418663
87,41,"[(3, 3), (0, 0)]",CONTE0336-1-1,-1,CONTE-Inlier,0.13071656492099387
88,34,"[(3, 3), (3, 0)]",CONTE0287-1-1,-1,CONTE-Inlier,0.07513535334718832
89,9,"[(3, 3), (3, 1)]",CONTE0162-1-1,-1,CONTE-Inlier,0.5668710046846471
90,123,"[(3, 3), (3, 1)]",TWINST0213-1-2,-1,CONTE-Inlier,0.6485878850971195
91,51,"[(3, 3), (1, 0)]",CONTE0385-1-1,-1,CONTE-Inlier,0.018753242570389524
92,75,"[(3, 3), (1, 1)]",CONTE0586-1-1,-1,CONTE-Inlier,0.8463881764430636
93,5,"[(3, 3), (0, 5)]",CONTE0141-1-1,-1,CONTE-Inlier,0.12299712723590331
94,128,"[(3, 3), (0, 4)]",TWINST0233-1-1,-1,CONTE-Inlier,0.10557317790474177
95,35,"[(3, 3), (3, 5)]",CONTE0293-1-1,-1,CONTE-Inlier,7.840750271655818e-05
96,121,"[(3, 3), (0, 2)]",TWINST0208-1-2,-1,CONTE-Inlier,0.03148765821177151
97,72,"[(3, 2), (0, 0)]",CONTE0570-1-1,-1,CONTE-Inlier,1.189619532879119
98,76,"[(3, 2), (0, 0)]",CONTE0587-1-1,-1,CONTE-Inlier,0.6147744632005968
99,43,"[(3, 2), (1, 0)]",CONTE0340-1-1,-1,CONTE-Inlier,0.28434994615792625
100,138,"[(3, 2), (0, 2), (0, 0)]",TWINST0286-1-1,-1,CONTE-Inlier,0.16393459901723487
101,114,"[(3, 2), (0, 2), (1, 0)]",TWINST0189-1-2,-1,CONTE-Inlier,0.004234678360555769
102,19,"[(3, 2), (0, 2), (0, 3)]",CONTE0042-2-1,-1,CONTE-Inlier,0.01852906258639506
103,31,"[(3, 2), (0, 2), (0, 3)]",CONTE0269-1-1,-1,CONTE-Inlier,1.585075398502982
104,97,"[(3, 2), (0, 2), (0, 3)]",TWINST0084-1-2,-1,CONTE-Inlier,1.3100804621547888
105,56,"[(3, 2), (1, 2)]",CONTE0427-1-1,-1,CONTE-Inlier,0.014905012426105068
106,129,"[(0, 1), (0, 0)]",TWINST0237-1-1,-1,CONTE-Inlier,0.1786631293999256
107,62,"[(0, 1), (0, 1)]",CONTE0500-1-1,-1,CONTE-Inlier,0.1633585118502607
108,95,"[(0, 1), (4, 0)]",TWINST0076-1-1,-1,CONTE-Inlier,2.2442506617092626
109,99,"[(0, 1), (4, 0)]",TWINST0094-1-2,-1,CONTE-Inlier,0.7750748604529282
110,111,"[(0, 1), (9, 1)]",TWINST0154-1-1,-1,CONTE-Inlier,7.926661761323894e-13
111,10,"[(1, 1), (0, 1)]",CONTE0164-1-1,-1,CONTE-Inlier,0.05132530560188357
112,92,"[(1, 1), (2, 0)]",TWINST0064-1-2,-1,CONTE-Inlier,0.09831398499081997
113,2,"[(1, 1), (2, 1)]",CONTE0122-1-1,-1,CONTE-Inlier,0.08026490308626097
114,55,"[(1, 1), (5, 0)]",CONTE0417-1-1,-1,CONTE-Inlier,0.01493207692022724
115,127,"[(1, 1), (7, 0)]",TWINST0229-1-2,-1,CONTE-Inlier,1.0158829858544847
116,48,"[(1, 1), (11, 1)]",CONTE0354-1-1,-1,CONTE-Inlier,2.222449393917565e-07
117,45,"[(1, 1), (8, 0)]",CONTE0344-1-1,-1,CONTE-Inlier,1.1054098286478669
118,21,"[(2, 1), (0, 0)]",CONTE0207-1-1,-1,CONTE-Inlier,0.0011556978051528615
119,132,"[(2, 1), (0, 4)]",TWINST0248-1-2,-1,CONTE-Inlier,0.25386685146754473
120,68,"[(2, 1), (0, 3)]",CONTE0542-1-1,-1,CONTE-Inlier,0.026527478407333615
121,15,"[(2, 1), (0, 2)]",CONTE0184-1-1,-1,CONTE-Inlier,0.3545913313449287
122,140,"[(2, 1), (0, 2)]",TWINST0296-1-2,-1,CONTE-Inlier,0.18694577024578454
123,20,"[(2, 1), (2, 0)]",CONTE0193-1-1,-1,CONTE-Inlier,0.11666702952998442
124,66,"[(2, 1), (2, 1)]",CONTE0531-1-1,-1,CONTE-Inlier,0.9798542470467669
125,4,"[(2, 1), (2, 2)]",CONTE0140-1-1,-1,CONTE-Inlier,0.13443567046078506
126,30,"[(2, 1), (2, 4)]",CONTE0266-1-1,-1,CONTE-Inlier,0.5141715725319359
127,59,"[(2, 1), (2, 4)]",CONTE0460-1-1,-1,CONTE-Inlier,0.2633223344554245
128,116,"[(2, 1), (1, 0)]",TWINST0191-1-1,-1,CONTE-Inlier,0.9923215747274429
129,137,"[(2, 1), (1, 1)]",TWINST0279-1-1,-1,CONTE-Inlier,0.655174346324033
130,126,"[(3, 1), (0, 0)]",TWINST0225-1-1,-1,CONTE-Inlier,0.6111873879209783
131,133,"[(3, 1), (0, 0)]",TWINST0252-1-2,-1,CONTE-Inlier,1.1918694013401383
132,101,"[(3, 1), (3, 0)]",TWINST0107-1-1,-1,CONTE-Inlier,0.016094188650147962
133,32,"[(3, 1), (2, 0)]",CONTE0272-1-1,-1,CONTE-Inlier,1.3395896306566488
134,88,"[(3, 1), (2, 1)]",TWINST0027-1-2,-1,CONTE-Inlier,0.4109108548811052
135,135,"[(3, 1), (2, 1)]",TWINST0256-1-2,-1,CONTE-Inlier,0.3830122730549231
136,91,"[(3, 1), (0, 4)]",TWINST0054-1-2,-1,CONTE-Inlier,0.02527628309289219
137,89,"[(3, 1), (0, 3)]",TWINST0046-2-2,-1,CONTE-Inlier,0.1308920414272835
138,113,"[(3, 1), (0, 3)]",TWINST0181-1-1,-1,CONTE-Inlier,1.567301275892571
139,120,"[(3, 1), (0, 3)]",TWINST0207-1-1,-1,CONTE-Inlier,1.0079536979429888
140,8,"[(3, 1), (1, 4)]",CONTE-TRIOneo-0059-1-1,-1,CONTE-Inlier,0.2749670733238308
141,143,"[(3, 1), (2, 4)]",TWINST0310-1-2,-1,CONTE-Inlier,0.23928370568134558
142,52,"[(3, 1), (3, 4)]",CONTE0393-1-1,-1,CONTE-Inlier,0.05424559197382141
143,103,"[(3, 1), (3, 3)]",TWINST0125-1-2,-1,CONTE-Inlier,0.19203741890309015
144,106,"[(3, 1), (0, 2)]",TWINST0137-1-2,-1,CONTE-Inlier,0.23690199777016835
145,145,"[(3, 1), (2, 2)]",TWINST0316-1-2,-1,CONTE-Inlier,0.94194886211814
146,29,"[(3, 1), (3, 2)]",CONTE0249-1-1,-1,CONTE-Inlier,0.0975699104938232
